@odata.etag,dataAreaId,RecordId,PriceApplicableFromDate,WillSearchContinue,SalesPriceQuantity,QuantityUnitySymbol,ProductNumber,AttributeBasedPricingId,ProductSizeId,ItemNumber,ProductVersionId,PriceCurrencyCode,ToQuantity,FixedPriceCharges,WillDeliveryDateControlDisregardLeadTime,PriceApplicableToDate,PriceWarehouseId,SalesLeadTimeDays,FromQuantity,CustomerAccountNumber,PriceCustomerGroupCode,Price,PriceSiteId,IsGenericCurrencySearchEnabled,ProductColorId,ProductconfigurationId,ProductStyleId,VERItemRelation,VERItemCode,VERProductConfigCombinationCode,VERProductConfigCombinationCodeFull
"W/""JzEsNTYzNzM4MDU1NCc=""",inc,5637380554,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000655",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1990,,Yes,,,SPC-000655,"ALTEA 2.0",Table,Frame-SO1103/Shell-SO1035,Frame-SO1103-/Shell-SO1035-
"W/""JzEsNTYzNzM4MDU1NSc=""",inc,5637380555,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000656",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1820,,Yes,,,SPC-000656,"ALTEA 2.0",Table,Frame-SO1103/Shell-SO1039,Frame-SO1103-/Shell-SO1039-
"W/""JzEsNTYzNzM4MDU1Nic=""",inc,5637380556,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000657",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2080,,Yes,,,SPC-000657,"ALTEA 2.0",Table,Frame-SO1103/Shell-SO1082,Frame-SO1103-/Shell-SO1082-
"W/""JzEsNTYzNzM4MDU1Nyc=""",inc,5637380557,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000658",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2290,,Yes,,,SPC-000658,"ALTEA 2.0",Table,Frame-SO1103/Shell-SO1084,Frame-SO1103-/Shell-SO1084-
"W/""JzEsNTYzNzM4MDU1OCc=""",inc,5637380558,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000659",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,3020,,Yes,,,SPC-000659,"ALTEA 2.0",Table,Frame-SO1103/Shell-SO1287,Frame-SO1103-/Shell-SO1287-
"W/""JzEsNTYzNzM4MDU1OSc=""",inc,5637380559,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000660",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1790,,Yes,,,SPC-000660,"ALTEA 2.0",Table,Frame-SO1105/Shell-SO1035,Frame-SO1105-/Shell-SO1035-
"W/""JzEsNTYzNzM4MDU2NCc=""",inc,5637380564,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000665",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1890,,Yes,,,SPC-000665,"ALTEA 2.0",Table,Frame-SO1106/Shell-SO1035,Frame-SO1106-/Shell-SO1035-
"W/""JzEsNTYzNzM4MDU2MCc=""",inc,5637380560,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000661",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1610,,Yes,,,SPC-000661,"ALTEA 2.0",Table,Frame-SO1105/Shell-SO1039,Frame-SO1105-/Shell-SO1039-
"W/""JzEsNTYzNzM4MDU2NSc=""",inc,5637380565,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000666",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1710,,Yes,,,SPC-000666,"ALTEA 2.0",Table,Frame-SO1106/Shell-SO1039,Frame-SO1106-/Shell-SO1039-
"W/""JzEsNTYzNzM4MDU2MSc=""",inc,5637380561,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000662",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1890,,Yes,,,SPC-000662,"ALTEA 2.0",Table,Frame-SO1105/Shell-SO1082,Frame-SO1105-/Shell-SO1082-
"W/""JzEsNTYzNzM4MDU2Nic=""",inc,5637380566,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000667",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,1970,,Yes,,,SPC-000667,"ALTEA 2.0",Table,Frame-SO1106/Shell-SO1082,Frame-SO1106-/Shell-SO1082-
"W/""JzEsNTYzNzM4MDU2Mic=""",inc,5637380562,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000663",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2070,,Yes,,,SPC-000663,"ALTEA 2.0",Table,Frame-SO1105/Shell-SO1084,Frame-SO1105-/Shell-SO1084-
"W/""JzEsNTYzNzM4MDU2Nyc=""",inc,5637380567,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000668",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2140,,Yes,,,SPC-000668,"ALTEA 2.0",Table,Frame-SO1106/Shell-SO1084,Frame-SO1106-/Shell-SO1084-
"W/""JzEsNTYzNzM4MDU2Myc=""",inc,5637380563,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000664",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2740,,Yes,,,SPC-000664,"ALTEA 2.0",Table,Frame-SO1105/Shell-SO1287,Frame-SO1105-/Shell-SO1287-
"W/""JzEsNTYzNzM4MDU2OCc=""",inc,5637380568,2024-03-04T12:00:00Z,Yes,1,EACH,"ALTEA 2.0 :  : SPC-000669",,,"ALTEA 2.0",,USD,0,0,Yes,1900-01-01T12:00:00Z,,0,1,,Sandler,2820,,Yes,,,SPC-000669,"ALTEA 2.0",Table,Frame-SO1106/Shell-SO1287,Frame-SO1106-/Shell-SO1287-
